,Time,SOC,Power_hardware,Power_sol_pan
650,180.2777778,0.9955760048026525,20.18,0.0
651,180.5555556,0.9948747308755966,20.18,0.0
652,180.8333333,0.9941727836056727,20.18,0.0
653,181.1111111,0.9934704665519554,20.18,0.0
654,181.3888889,0.992767779091859,20.18,0.0
655,181.6666667,0.9920647208540807,20.18,0.0
656,181.9444444,0.9913612907063228,20.18,0.0
657,182.2222222,0.9906574882734901,20.18,0.0
658,182.5,0.989953312925678,20.18,0.0
659,182.7777778,0.9892487694048722,20.18,0.0
660,183.0555556,0.9890603955827832,5.4,0.0
661,183.3333333,0.9888720010676125,5.4,0.0
662,183.6111111,0.9886835859205781,5.4,0.0
663,183.8888889,0.9884951501350875,5.4,0.0
664,184.1666667,0.9883066937723889,5.4,0.0
665,184.4444444,0.9881182166902016,5.4,0.0
666,184.7222222,0.9879297189497592,5.4,0.0
667,185.0,0.9877412005444549,5.4,0.0
668,185.2777778,0.9875526614676784,5.4,0.0
669,185.5555556,0.9873641017806971,5.4,0.0
670,185.8333333,0.9871755213411382,5.4,0.0
671,186.1111111,0.9864697975643936,20.18,0.0
672,186.3888889,0.9857637792958872,20.18,0.0
673,186.6666667,0.9850574664107415,20.18,0.0
674,186.9444444,0.984350858020534,20.18,0.0
675,187.2222222,0.9836440068190461,20.18,0.0
676,187.5,0.9829369172367621,20.18,0.0
677,187.7777778,0.9822295890332903,20.18,0.0
678,188.0555556,0.9815220222225559,20.18,0.0
679,188.3333333,0.9808142160539896,20.18,0.0
680,188.6111111,0.9801061705406127,20.18,0.0
681,188.8888889,0.9793978854403984,20.18,0.0
682,189.1666667,0.9792085606514077,5.4,0.0
683,189.4444444,0.9790192210834516,5.4,0.0
684,189.7222222,0.9788298668014238,5.4,0.0
685,190.0,0.9786404978020652,5.4,0.0
686,190.2777778,0.9784511140821149,5.4,0.0
687,190.5555556,0.9782617157064947,5.4,0.0
688,190.8333333,0.97807230253558,5.4,0.0
689,191.1111111,0.977882874634285,5.4,0.0
690,191.3888889,0.9776934319993444,5.4,0.0
691,191.6666667,0.9775039746956958,5.4,0.0
692,191.9444444,0.9773145025836678,5.4,0.0
693,192.2222222,0.9766053975673838,20.18,0.0
694,192.5,0.9758960915347544,20.18,0.0
695,192.7777778,0.9751865843155115,20.18,0.0
696,193.0555556,0.9744768759946397,20.18,0.0
697,193.3333333,0.9737669974787088,20.18,0.0
698,193.6111111,0.9730569601793225,20.18,0.0
