,Time_opsim,Solar power (watts),Solar X,Solar Y,Solar Z,Panel E Temp,Panel W Temp,Panel Top Temp,Panel E Efficiency,Panel W Efficiency,Panel Top Efficiency
1900,474.9999999962747,0.0,-0.501040027554821,-0.361500919194779,-0.7863052690966748,-170.95320906468436,-170.95320906468436,-170.95320906468436,0.3560678245653451,0.3560678245653451,0.3560678245653451
1901,475.2499999925494,0.0,-0.4991302011872727,-0.3619412069882748,-0.7873167119696008,-170.96841995036277,-170.96841995036277,-170.96841995036277,0.3560702425092558,0.3560702425092558,0.3560702425092558
1902,475.5,0.0,-0.4972179517211788,-0.3623797907774473,-0.7883242960370365,-170.98363083605187,-170.98363083605187,-170.98363083605187,0.3560726601881364,0.3560726601881364,0.3560726601881364
1903,475.7499999962747,0.0,-0.4953032884521722,-0.3628166684300788,-0.7893280164530855,-170.9988417217303,-170.9988417217303,-170.9988417217303,0.3560750776019835,0.3560750776019835,0.3560750776019835
1904,475.9999999925494,0.0,-0.4933862206897292,-0.3632518378216617,-0.7903278683892471,-171.01405260740876,-171.01405260740876,-171.01405260740876,0.3560774947507988,0.3560774947507988,0.3560774947507988
1905,476.25,0.0,-0.491466757752392,-0.3636852968365034,-0.7913238470369106,-171.0292634930978,-171.0292634930978,-171.0292634930978,0.356079911634584,0.356079911634584,0.356079911634584
1906,476.4999999962747,0.0,-0.4895449089708793,-0.3641170433670074,-0.7923159476057278,-171.04447437877624,-171.04447437877624,-171.04447437877624,0.3560823282533357,0.3560823282533357,0.3560823282533357
1907,476.7499999925494,0.0,-0.4876206836864603,-0.3645470753140405,-0.7933041653244537,-171.05968526445469,-171.05968526445469,-171.05968526445469,0.3560847446070557,0.3560847446070557,0.3560847446070557
1908,477.0,0.0,-0.4856940912532907,-0.3649753905864085,-0.794288495439748,-171.07489615014373,-171.07489615014373,-171.07489615014373,0.3560871606957455,0.3560871606957455,0.3560871606957455
1909,477.2499999962747,0.0,-0.4837651410359943,-0.3654019871014015,-0.7952689332174191,-171.0901070358222,-171.0901070358222,-171.0901070358222,0.3560895765194019,0.3560895765194019,0.3560895765194019
1910,477.4999999925494,0.0,-0.4818338424088055,-0.3658268627849829,-0.7962454739428436,-171.1053179215006,-171.1053179215006,-171.1053179215006,0.3560919920780264,0.3560919920780264,0.3560919920780264
1911,477.75,0.0,-0.4799002047587246,-0.3662500155710788,-0.7972181129193683,-171.1205288071897,-171.1205288071897,-171.1205288071897,0.3560944073716208,0.3560944073716208,0.3560944073716208
1912,477.9999999962747,0.0,-0.4779642374846669,-0.3666714434017788,-0.7981868454687517,-171.13573969286813,-171.13573969286813,-171.13573969286813,0.3560968224001818,0.3560968224001818,0.3560968224001818
1913,478.2499999925494,0.0,-0.4760259499950373,-0.3670911442278659,-0.799151666932378,-171.15095057854657,-171.15095057854657,-171.15095057854657,0.356099237163711,0.356099237163711,0.356099237163711
1914,478.5,0.0,-0.4740853517084659,-0.3675091160086517,-0.8001125726708708,-171.16616146423564,-171.16616146423564,-171.16616146423564,0.3561016516622101,0.3561016516622101,0.3561016516622101
1915,478.7499999962747,0.0,-0.4721424520569784,-0.3679253567112817,-0.8010695580625317,-171.18137234991406,-171.18137234991406,-171.18137234991406,0.3561040658956756,0.3561040658956756,0.3561040658956756
1916,478.9999999925494,0.0,-0.4701972604819424,-0.368339864311624,-0.8020226185053454,-171.19658323559253,-171.19658323559253,-171.19658323559253,0.3561064798641095,0.3561064798641095,0.3561064798641095
1917,479.25,0.0,-0.4682497864356198,-0.3687526367939268,-0.8029717494162062,-171.21179412128157,-171.21179412128157,-171.21179412128157,0.3561088935675132,0.3561088935675132,0.3561088935675132
1918,479.4999999962747,0.0,-0.4663000393819412,-0.3691636721506527,-0.8039169462305452,-171.22700500696004,-171.22700500696004,-171.22700500696004,0.3561113070058834,0.3561113070058834,0.3561113070058834
1919,479.7499999925494,0.0,-0.4643480287940311,-0.3695729683830082,-0.804858204403527,-171.24221589263846,-171.24221589263846,-171.24221589263846,0.3561137201792218,0.3561137201792218,0.3561137201792218
1920,480.0,0.0,-0.4623937641573908,-0.3699805235002645,-0.8057955194085095,-171.25742677832753,-171.25742677832753,-171.25742677832753,0.3561161330875301,0.3561161330875301,0.3561161330875301
1921,480.2499999962747,0.0,-0.4604372549682469,-0.3703863355201089,-0.8067288867378501,-171.27263766400597,-171.27263766400597,-171.27263766400597,0.356118545730805,0.356118545730805,0.356118545730805
1922,480.4999999925494,0.0,-0.458478510731081,-0.370790402469165,-0.8076583019040692,-171.28784854968438,-171.28784854968438,-171.28784854968438,0.356120958109048,0.356120958109048,0.356120958109048
1923,480.75,0.0,-0.456517540962615,-0.3711927223821489,-0.8085837604379499,-171.30305943537348,-171.30305943537348,-171.30305943537348,0.356123370222261,0.356123370222261,0.356123370222261
1924,480.9999999962747,0.0,-0.4545543551917791,-0.3715932933018852,-0.8095052578885729,-171.3215832177591,-171.3215832177591,-171.3215832177591,0.3561263073304045,0.3561263073304045,0.3561263073304045
1925,481.2499999925494,0.0,-0.452588962955617,-0.3719921132801572,-0.810422789825238,-171.345775028959,-171.345775028959,-171.345775028959,0.35613014256237,0.35613014256237,0.35613014256237
1926,481.5,0.0,-0.4506213738016694,-0.3723891803772056,-0.8113363518363325,-171.36996684017583,-171.36996684017583,-171.36996684017583,0.3561339771239509,0.3561339771239509,0.3561339771239509
1927,481.7499999962747,0.0,-0.4486515972887336,-0.3727844926615735,-0.8122459395289836,-171.39415865137573,-171.39415865137573,-171.39415865137573,0.3561378110151419,0.3561378110151419,0.3561378110151419
1928,481.9999999925494,0.0,-0.446679642986832,-0.37317804821012,-0.8131515485290804,-171.41835046257566,-171.41835046257566,-171.41835046257566,0.3561416442359457,0.3561416442359457,0.3561416442359457
1929,482.25,0.0,-0.444705520473907,-0.3735698451086869,-0.8140531744827871,-171.44254227379247,-171.44254227379247,-171.44254227379247,0.356145476786365,0.356145476786365,0.356145476786365
1930,482.4999999962747,0.0,-0.4427292393398392,-0.3739598814512795,-0.8149508130546973,-171.46673408499237,-171.46673408499237,-171.46673408499237,0.3561493086663942,0.3561493086663942,0.3561493086663942
1931,482.7499999925494,0.0,-0.4407508091847874,-0.3743481553404102,-0.8158444599285989,-171.49092589619227,-171.49092589619227,-171.49092589619227,0.3561531398760363,0.3561531398760363,0.3561531398760363
1932,483.0,0.0,-0.4387702396191296,-0.3747346648871067,-0.816734110807501,-171.5151177074091,-171.5151177074091,-171.5151177074091,0.3561569704152938,0.3561569704152938,0.3561569704152938
1933,483.2499999962747,0.0,-0.4367875402617956,-0.3751194082112406,-0.8176197614143746,-171.539309518609,-171.539309518609,-171.539309518609,0.3561608002841614,0.3561608002841614,0.3561608002841614
