,Time_therm,SOC,Power_hardware,Power_sol_pan,Temperature
716,198.6111111,0.9479362197216661,5.4,0.0,16.33389
717,198.8888889,0.9477452965851505,5.4,0.0,16.22601
718,199.1666667,0.9475543670080088,5.4,0.0,16.11712
719,199.4444444,0.9473634308521893,5.4,0.0,16.00645
720,199.7222222,0.9471724881858403,5.4,0.0,15.89523
721,200.0,0.9469815390083769,5.4,0.0,15.78304
722,200.2777778,0.9462670291622963,20.18,0.0,15.67013
723,200.5555556,0.9455524387407512,20.18,0.0,15.55655
724,200.8333333,0.9448377672035113,20.18,0.0,15.44437
725,201.1111111,0.9441230169074694,20.18,0.0,15.33278
726,201.3888889,0.9434081950682334,20.18,0.0,15.22218
727,201.6666667,0.9426933019234675,20.18,0.0,15.11399
728,201.9444444,0.9419783369387685,20.18,0.0,15.00639
729,202.2222222,0.9412633003517578,20.18,0.0,14.90137
730,202.5,0.9405481921427113,20.18,0.0,14.79709
731,202.7777778,0.9398330122918971,20.18,0.0,14.69456
732,203.0555556,0.9396418506835137,5.4,0.0,14.59368
733,203.3333333,0.9394506835301702,5.4,0.0,14.49362
734,203.6111111,0.9392595109002772,5.4,0.0,14.39449
735,203.8888889,0.9390683327934287,5.4,0.0,14.29484
736,204.1666667,0.938877149278045,5.4,0.0,14.19415
737,204.4444444,0.9386859602160702,5.4,0.0,14.09253
738,204.7222222,0.9384947656759226,5.4,0.0,13.99085
739,205.0,0.9383035656571961,5.4,0.0,13.88732
740,205.2777778,0.9381123601594846,5.4,0.0,13.78304
741,205.5555556,0.9379211492512183,5.4,0.0,13.67737
742,205.8333333,0.9377299327943208,5.4,0.0,13.57064
743,206.1111111,0.9370144562963477,20.18,0.0,13.46316
744,206.3888889,0.9362989111364505,20.18,0.0,13.35451
745,206.6666667,0.9355832975533228,20.18,0.0,13.2468
746,206.9444444,0.9348676150128116,20.18,0.0,13.13901
747,207.2222222,0.9341518643351847,20.18,0.0,13.03272
748,207.5,0.9334360480653346,20.18,0.0,12.92849
749,207.7777778,0.9327201661863088,20.18,0.0,12.82501
750,208.0555556,0.9320042189388884,20.18,0.0,12.72335
751,208.3333333,0.9312882057906484,20.18,0.0,12.6226
