,Time,SOC,Power_hardware,Power_sol_pan
650,180.2777778,0.955103304062774,26.009999999999994,0.0
651,180.5555556,0.9541834982029673,26.009999999999994,0.0
652,180.8333333,0.9532635438353447,26.009999999999994,0.0
653,181.1111111,0.9523434434533344,26.009999999999994,0.0
654,181.3888889,0.9514231969923326,26.009999999999994,0.0
655,181.6666667,0.95050280471903,26.009999999999994,0.0
656,181.9444444,0.9495822659060997,26.009999999999994,0.0
657,182.2222222,0.9486615874997975,26.009999999999994,0.0
658,182.5,0.947740777484067,26.009999999999994,0.0
659,182.7777778,0.9468198358059612,26.009999999999994,0.0
660,183.0555556,0.9464226581984924,11.23,0.0
661,183.3333333,0.9460254543242732,11.23,0.0
662,183.6111111,0.9456282243215085,11.23,0.0
663,183.8888889,0.9452309681854272,11.23,0.0
664,184.1666667,0.9448336860542783,11.23,0.0
665,184.4444444,0.9444363787571918,11.23,0.0
666,184.7222222,0.9440390479884289,11.23,0.0
667,185.0,0.9436416937442043,11.23,0.0
668,185.2777778,0.9432443160207318,11.23,0.0
669,185.5555556,0.9428469149572882,11.23,0.0
670,185.8333333,0.9424494902639652,11.23,0.0
671,186.1111111,0.9415278126193403,26.009999999999994,0.0
672,186.3888889,0.9406060193158379,26.009999999999994,0.0
673,186.6666667,0.939684110645696,26.009999999999994,0.0
674,186.9444444,0.9387620868745458,26.009999999999994,0.0
675,187.2222222,0.9378399501533218,26.009999999999994,0.0
676,187.5,0.9369177004418981,26.009999999999994,0.0
677,187.7777778,0.9359953377001247,26.009999999999994,0.0
678,188.0555556,0.9350728622199186,26.009999999999994,0.0
679,188.3333333,0.9341502732969403,26.009999999999994,0.0
680,188.6111111,0.9332275767424079,26.009999999999994,0.0
681,188.8888889,0.9323047729941397,26.009999999999994,0.0
682,189.1666667,0.9319067846699807,11.23,0.0
683,189.4444444,0.931508774980005,11.23,0.0
684,189.7222222,0.93111074406437,11.23,0.0
685,190.0,0.9307126919199641,11.23,0.0
686,190.2777778,0.9303146185436748,11.23,0.0
687,190.5555556,0.9299165240757029,11.23,0.0
688,190.8333333,0.9295184088355607,11.23,0.0
689,191.1111111,0.929120275260188,11.23,0.0
690,191.3888889,0.9287221233472959,11.23,0.0
691,191.6666667,0.9283239532379358,11.23,0.0
692,191.9444444,0.9279257646431424,11.23,0.0
693,192.2222222,0.9270023556758697,26.009999999999994,0.0
694,192.5,0.9260788549378802,26.009999999999994,0.0
695,192.7777778,0.9251552624035868,26.009999999999994,0.0
696,193.0555556,0.9242315783799171,26.009999999999994,0.0
697,193.3333333,0.9233077965139777,26.009999999999994,0.0
698,193.6111111,0.9223839159635367,26.009999999999994,0.0
699,193.8888889,0.9214599366974746,26.009999999999994,0.0
700,194.1666667,0.9205358590173225,26.009999999999994,0.0
701,194.4444444,0.9196116822266264,26.009999999999994,0.0
702,194.7222222,0.9186874138884595,26.009999999999994,0.0
703,195.0,0.9177630640003498,26.009999999999994,0.0
704,195.2777778,0.9173644164914909,11.23,0.0
705,195.5555556,0.9169657526680481,11.23,0.0
706,195.8333333,0.9165670722411695,11.23,0.0
707,196.1111111,0.9161683753525479,11.23,0.0
708,196.3888889,0.9157696620003626,11.23,0.0
709,196.6666667,0.9153709323263352,11.23,0.0
710,196.9444444,0.9149721860415649,11.23,0.0
711,197.2222222,0.9145734232727822,11.23,0.0
712,197.5,0.9141746438183055,11.23,0.0
713,197.7777778,0.9137758476762824,11.23,0.0
714,198.0555556,0.9128510437426466,26.009999999999994,0.0
715,198.3333333,0.911926158586071,26.009999999999994,0.0
716,198.6111111,0.911001192520363,26.009999999999994,0.0
717,198.8888889,0.9100761455264229,26.009999999999994,0.0
718,199.1666667,0.9091510179181891,26.009999999999994,0.0
719,199.4444444,0.908225802005264,26.009999999999994,0.0
720,199.7222222,0.9073004974676037,26.009999999999994,0.0
721,200.0,0.9063751042801956,26.009999999999994,0.0
722,200.2777778,0.9054496224180154,26.009999999999994,0.0
723,200.5555556,0.9045240521892318,26.009999999999994,0.0
724,200.8333333,0.903598390201619,26.009999999999994,0.0
725,201.1111111,0.9031991663720161,11.23,0.0
726,201.3888889,0.9027999244960496,11.23,0.0
727,201.6666667,0.9024006647152011,11.23,0.0
728,201.9444444,0.9020013867397573,11.23,0.0
729,202.2222222,0.9016020907111923,11.23,0.0
730,202.5,0.9012027766272529,11.23,0.0
731,202.7777778,0.9008034444856852,11.23,0.0
732,203.0555556,0.9004040944280007,11.23,0.0
733,203.3333333,0.900004726164419,11.23,0.0
734,203.6111111,0.8996053398364443,11.23,0.0
735,203.8888889,0.8992059352290448,11.23,0.0
736,204.1666667,0.8982797098584476,26.009999999999994,0.0
737,204.4444444,0.8973533907833917,26.009999999999994,0.0
738,204.7222222,0.8964269783101902,26.009999999999994,0.0
739,205.0,0.8955004724117357,26.009999999999994,0.0
740,205.2777778,0.8945738730609072,26.009999999999994,0.0
741,205.5555556,0.8936471729232293,26.009999999999994,0.0
742,205.8333333,0.8927203623219556,26.009999999999994,0.0
743,206.1111111,0.891793441551952,26.009999999999994,0.0
744,206.3888889,0.8908664105744887,26.009999999999994,0.0
745,206.6666667,0.8899392696845844,26.009999999999994,0.0
746,206.9444444,0.8890120174842525,26.009999999999994,0.0
747,207.2222222,0.8886121058376614,11.23,0.0
748,207.5,0.8882121711502144,11.23,0.0
749,207.7777778,0.8878122134181797,11.23,0.0
750,208.0555556,0.8874122327818172,11.23,0.0
751,208.3333333,0.8870122289494147,11.23,0.0
752,208.6111111,0.8866122020612219,11.23,0.0
