solar_pow,time
0.0,61050.833333333336
0.0,61050.84375
0.0,61050.854166666664
0.0,61050.864583333336
75.75374589231492,61050.875
75.72491273831845,61050.885416666664
75.71187136568413,61050.895833333336
75.71350186538844,61050.90625
75.72879837508255,61050.916666666664
75.7568853841402,61050.927083333336
75.7970169100452,61050.9375
75.84855832525261,61050.947916666664
75.9109568497509,61050.958333333336
75.98370950326363,61050.96875
76.06633586177335,61050.979166666664
76.15835926191511,61050.989583333336
76.25929662717445,61051.0
76.36865509979297,61051.010416666664
76.48593312161518,61051.020833333336
76.61062390476144,61051.03125
76.74221983051444,61051.041666666664
76.8802168793957,61051.052083333336
77.02411862094814,61051.0625
77.17343956689977,61051.072916666664
77.32770784865114,61051.083333333336
77.48646726513827,61051.09375
77.64927877775946,61051.104166666664
77.81572154179389,61051.114583333336
77.9853935585168,61051.125
78.1579120210876,61051.135416666664
78.33291341902154,61051.145833333336
78.51005345150796,61051.15625
78.68900679372655,61051.166666666664
78.86946674936716,61051.177083333336
79.05114481654157,61051.1875
79.23377018950114,61051.197916666664
79.41708921365235,61051.208333333336
79.60086480577324,61051.21875
79.78487585282868,61051.229166666664
79.96891659607064,61051.239583333336
80.15279600988237,61051.25
80.33633717499308,61051.260416666664
80.51937665910613,61051.270833333336
80.70176390018473,61051.28125
80.88336059992635,61051.291666666664
81.06404012701715,61051.302083333336
81.24368693427941,61051.3125
81.42219598746807,61051.322916666664
81.59947221039454,61051.333333333336
81.77542994414272,61051.34375
81.9499924229306,61051.354166666664
82.1230912644509,61051.364583333336
82.29466597891229,61051.375
82.46466349229146,61051.385416666664
82.63303768656108,61051.395833333336
82.79974895722617,61051.40625
82.9647637857044,61051.416666666664
83.12805432747166,61051.427083333336
83.28959801824166,61051.4375
83.44937719287994,61051.447916666664
83.590294888585,61051.458333333336
83.72853858095996,61051.46875
83.86460838632505,61051.479166666664
83.99850052052238,61051.489583333336
84.13021442496735,61051.5
84.25975247007702,61051.510416666664
84.38711967305458,61051.520833333336
84.51232342803989,61051.53125
84.63537325039186,61051.541666666664
84.75628053106703,61051.552083333336
84.89950884975815,61051.5625
85.10766293919556,61051.572916666664
85.3151762468394,61051.583333333336
85.52207273036164,61051.59375
85.72837727507401,61051.604166666664
85.93411552345586,61051.614583333336
86.13931371734604,61051.625
86.34399854580374,61051.635416666664
86.548197004357,61051.645833333336
86.7519362604745,61051.65625
86.95524352896265,61051.666666666664
87.15814595359973,61051.677083333336
87.36067049755307,61051.6875
87.5628438407274,61051.697916666664
87.7646922832789,61051.708333333336
87.96624165756481,61051.71875
88.16751724499721,61051.729166666664
88.36854370099806,61051.739583333336
88.56934498328741,61051.75
88.7699442892041,61051.760416666664
88.97036399601653,61051.770833333336
89.1706256082328,61051.78125
89.37074970925372,61051.791666666664
89.57075591767824,61051.802083333336
89.77066285040222,61051.8125
89.97048808592723,61051.822916666664
90.17024813756856,61051.833333333336
90.36995842655621,61051.84375
90.5696332603617,61051.854166666664
90.76928581569935,61051.864583333336
90.96892812355372,61051.875
91.16857105943458,61051.885416666664
91.36822433461461,61051.895833333336
91.5678964930729,61051.90625
91.76759490859786,61051.916666666664
91.9673257877157,61051.927083333336
92.16709417216481,61051.9375
92.36690394603701,61051.947916666664
92.56675784424193,61051.958333333336
92.76665746410995,61051.96875
92.96660327734635,61051.979166666664
93.16659464567732,61051.989583333336
93.36662983765211,61052.0
93.56670604722473,61052.010416666664
93.76681941256322,61052.020833333336
93.96696503981165,61052.03125
94.16713702370222,61052.041666666664
94.36732847298356,61052.052083333336
94.56753153554241,61052.0625
94.76773742423217,61052.072916666664
94.96793644482861,61052.083333333336
95.16811802301164,61052.09375
95.36827073476084,61052.104166666664
95.56838233497582,61052.114583333336
95.76843978780366,61052.125
95.96842929733842,61052.135416666664
96.1683363391885,61052.145833333336
96.36814569134286,61052.15625
96.56784146648735,61052.166666666664
96.76740714425387,61052.177083333336
96.96682560301304,61052.1875
97.1660791523658,61052.197916666664
97.36514956582893,61052.208333333336
97.56401811304391,61052.21875
97.76266559214858,61052.229166666664
97.96107236236163,61052.239583333336
98.15921837577173,61052.25
98.35708320895141,61052.260416666664
98.5546460953539,61052.270833333336
98.75188595659293,61052.28125
98.94878143269985,61052.291666666664
99.1453109134597,61052.302083333336
99.34145256890353,61052.3125
99.5371843786727,61052.322916666664
99.73248416146751,61052.333333333336
99.92732960431007,61052.34375
100.12169829053832,61052.354166666664
100.31556772790928,61052.364583333336
100.508915375338,61052.375
100.70171867036551,61052.385416666664
100.89395505442968,61052.395833333336
101.08560199926086,61052.40625
101.27663703026442,61052.416666666664
101.46703775192103,61052.427083333336
101.65678187061445,61052.4375
101.845847217212,61052.447916666664
102.03421176960484,61052.458333333336
102.22185367383129,61052.46875
102.40875126442359,61052.479166666664
102.59488308430203,61052.489583333336
102.78022790427285,61052.5
102.96476474159263,61052.510416666664
103.14847287668269,61052.520833333336
103.33133187074988,61052.53125
103.513321581964,61052.541666666664
103.6944221808356,61052.552083333336
103.87461416456846,61052.5625
104.05387837109902,61052.572916666664
104.23219599262626,61052.583333333336
104.40954858754348,61052.59375
104.58591809261995,61052.604166666664
104.76128683348001,61052.614583333336
104.9356375353067,61052.625
105.10895333186531,61052.635416666664
105.28121777484162,61052.645833333336
105.45241484158127,61052.65625
105.62252894273514,61052.666666666664
105.79154492860076,61052.677083333336
105.95944809579703,61052.6875
106.12622419178476,61052.697916666664
106.29185942045339,61052.708333333336
106.45634044550877,61052.71875
106.61965439445942,61052.729166666664
106.78178886071734,61052.739583333336
